,Unnamed: 0,Nom,Type,Exposition,Rusticité,Profondeur,Espacement,Temps_levée,Temperature,delai_recolte,image
0,0,Tournesol,Fleurs,Soleil,Non résistant au gel,3 cm,40 cm,,,140 jours,https://img.permapotes.com/cover-square/90ff603e98b31b4e69190713ddea0766.jpg
1,1,Topinambour,Légumes,Soleil,Résistant au gel,8 cm,40 cm,,,210 jours,https://img.permapotes.com/cover-square/d292b5845ed3fabf77dc49397e7ddbf5.jpg
2,2,Sauge,Aromatiques,Soleil,Résistant au gel,,,,,,https://img.permapotes.com/cover-square/f19ca089f5cdc97e57651726bf0f48d8.jpg
3,3,Romarin,Aromatiques,Soleil,Résistant au gel,,40 cm,,,,https://img.permapotes.com/cover-square/f8971a6b52320e62dd35bb1d31712ba4.jpg
4,4,Rhubarbe,Légumes perpétuels,Mi-ombre,Résistant au gel,,100 cm,,,,https://img.permapotes.com/cover-square/3be940334ab4ff0f3bcffbb5bd2e3c57.jpeg
5,5,Raisin (vigne),Fruitiers,Soleil,Résistant au gel,,100 cm,,,,https://img.permapotes.com/cover-square/4d896909a464f3d72c720e9f3d81e19d.jpg
6,6,Poireau perpétuel,Légumes perpétuels,Soleil,Résistant au gel,,15 cm,,,,https://img.permapotes.com/cover-square/a9609a4157fe18de89673ca2d3aa6319.jpg
7,7,Physalis,Légumes,Soleil,Non résistant au gel,1 cm,60 cm,,,150 jours,https://img.permapotes.com/cover-square/d2d42cb99342991039c4ea8009446417.jpg
8,8,Pastèque,Fruitiers,Soleil,Non résistant au gel,1 cm,120 cm,,20 °C,,https://img.permapotes.com/cover-square/2d5023e9aa1b16ba69b52c9a75390c62.jpg
9,10,Origan,Aromatiques,Soleil,Résistant au gel,,30 cm,,,,https://img.permapotes.com/cover-square/6cd5f91b083eb0a785a891d9399f8d03.jpg
10,11,Oeillet d'Inde (tagette),Fleurs,Soleil,Non résistant au gel,,25 cm,,,,https://img.permapotes.com/cover-square/a522b1862a9d72913ea23dbbd59c63d9.jpg
11,12,Myrtillier,Fruitiers,Mi-ombre,Résistant au gel,,,,,,https://img.permapotes.com/cover-square/fa6af989f948348f8dff4b05e1887d09.jpg
12,13,Menthe,Aromatiques,Mi-ombre,Résistant au gel,,,,,,https://img.permapotes.com/cover-square/2b346d67ad7537c05aad0477d46aec6d.jpg
13,14,Melon,Fruitiers,Soleil,Non résistant au gel,1.5 cm,80 cm,8 jours,15 °C,150 jours,https://img.permapotes.com/cover-square/886aee0b019d89e3609c2ccc2e518b39.jpg
14,15,Kiwitier,Fruitiers,Soleil,Peu résistant au gel,,,,,,https://img.permapotes.com/cover-square/16555baa76e00fe064a22c48570c0517.jpg
15,16,Groseiller,Fruitiers,Mi-ombre,Résistant au gel,,,,,,https://img.permapotes.com/cover-square/2c73d19ebc25e2e78e8513c73c2533a7.jpg
16,17,Gingembre,Aromatiques,Soleil,Non résistant au gel,,,,,,https://img.permapotes.com/cover-square/e2eb001aca8ed8caf572cbf83feb97c1.jpg
17,18,Framboisier,Fruitiers,Mi-ombre,Résistant au gel,,80 cm,,,,https://img.permapotes.com/cover-square/cb22a9af5b184b3c83aab868718e6a2b.jpg
18,19,Fraisier,Fruitiers,Soleil,Résistant au gel,,40 cm,,,,https://img.permapotes.com/cover-square/e009b0d477d2ba6c04374e8fa249e7cd.jpg
19,20,Estragon,Aromatiques,Soleil,Résistant au gel,,20 cm,,,,https://img.permapotes.com/cover-square/d0078ad205661f646753cae4b502f858.JPG
20,21,Echalote,Légumes,Soleil,Résistant au gel,1 cm,10 cm,,,180 jours,https://img.permapotes.com/cover-square/0dea85d51eb351837ee3f2f99ab13a52.jpg
21,22,Curcuma,Aromatiques,Mi-ombre,Résistant au gel,,,,,,https://img.permapotes.com/cover-square/f4123036ba7bb13a3705d9a70351e7c8.jpg
22,23,Cerisier,Fruitiers,Soleil,,,,,,,https://img.permapotes.com/cover-square/5fe43f9cd18782248fd446a2cff91c59.jpg
23,24,Cassissier,Fruitiers,Mi-ombre,Résistant au gel,,,,,,https://img.permapotes.com/cover-square/6b4df53b8e417f22633bd559b2ef7a71.jpg
24,25,Cardon,Légumes perpétuels,Soleil,Résistant au gel,,,,,,https://img.permapotes.com/cover-square/c654025d2beed2ca63229f8cb2673fdd.jpg
25,26,Camomille,Fleurs,Soleil,Non résistant au gel,1 cm,25 cm,15 jours,15 °C,,https://img.permapotes.com/cover-square/456fb6c63b23b4aa714422640b6015e8.jpg
26,27,Bourrache,Fleurs,Mi-ombre,Non résistant au gel,1 cm,30 cm,,,,https://img.permapotes.com/cover-square/d98623e2708bc9636b3e8e6a389a8c9b.jpg
27,29,Ail des ours,Légumes perpétuels,Ombre,,,15 cm,,,,https://img.permapotes.com/cover-square/c46ef2ef30c9c60c3254bfa6fa5d8f55.jpg
28,30,Ail blanc,Légumes,Soleil,Résistant au gel,2 cm ,10 cm ,7 jours,15 °C,180 jours,https://img.permapotes.com/cover-square/64031dc651616919b429a525478733f8.jpg
