Nom,Type,Exposition,Rusticité,Profondeur,Espacement,Temps_levée,Temperature,delai_recolte,Zone climatique idéale,Sol requis,Besoin en eau,Calendrier des semis,Calendrier des récoltes,image_y,Calendrier_Semis,Calendrier_Recolte
Aneth,Aromatiques,Soleil,Résistant au gel,0.5,20.0,20.0,18.0,,"H1, H2","Limoneux, Sableux",Moyen,Avril à juin,Juillet à septembre,https://img.permapotes.com/cover-square/197d40a9004ed8099ecdb7d0e0cc8560.JPG,['avril' 'mai' 'juin'],['juillet' 'août' 'septembre']
Basilic,Aromatiques,Soleil,Non résistant au gel,0.5,20.0,8.0,18.0,90.0,H3,"Limoneux, Sableux",Élevé,Mai à juin,Juin à octobre,https://img.permapotes.com/cover-square/8b9aa50964be93d482a444b496290247.jpg,['mai' 'juin'],['juin' 'juillet' 'août' 'septembre' 'octobre']
Cerfeuil,Aromatiques,Mi-ombre,Résistant au gel,0.5,10.0,10.0,10.0,50.0,H1,Limoneux,Moyen,Mars à septembre,Avril à octobre,https://img.permapotes.com/cover-square/67265ad45c172a64e08683b095b1f8f6.jpg,['mars' 'avril' 'mai' 'juin' 'juillet' 'août' 'septembre'],['avril' 'mai' 'juin' 'juillet' 'août' 'septembre' 'octobre']
Ciboulette,Aromatiques,Soleil,Résistant au gel,1.0,10.0,18.0,18.0,90.0,"H1, H2",Limoneux,Moyen,Mars à juillet,Mai à octobre,https://img.permapotes.com/cover-square/d0db40392cc2bafac3aab4ab97145764.JPG,['mars' 'avril' 'mai' 'juin' 'juillet'],['mai' 'juin' 'juillet' 'août' 'septembre' 'octobre']
Coriandre,Aromatiques,Soleil,Non résistant au gel,1.0,15.0,15.0,15.0,60.0,"H1, H2","Limoneux, Sableux",Moyen,Avril à mai,Juin à septembre,https://img.permapotes.com/cover-square/7b61c4a869303e9cfdcb4e82a5f89e80.jpg,['avril' 'mai'],['juin' 'juillet' 'août' 'septembre']
Curcuma,Aromatiques,Mi-ombre,Résistant au gel,,,,,,H3,Sableux,Élevé,Mars à avril,Septembre à octobre,https://img.permapotes.com/cover-square/f4123036ba7bb13a3705d9a70351e7c8.jpg,['mars' 'avril'],['septembre' 'octobre']
Gingembre,Aromatiques,Soleil,Non résistant au gel,3.0,30.0,15.0,22.0,270.0,"H2, H3","Limoneux, Sableux",Élevé,Février à mai,Août à décembre,https://img.permapotes.com/cover-square/e2eb001aca8ed8caf572cbf83feb97c1.jpg,['février' 'mars' 'avril' 'mai'],['août' 'septembre' 'octobre' 'novembre' 'décembre']
Estragon,Aromatiques,Soleil,Résistant au gel,,20.0,,,,"H2, H3","Limoneux, Argileux",Moyen,Avril à mai,Juin à octobre,https://img.permapotes.com/cover-square/d0078ad205661f646753cae4b502f858.JPG,['avril' 'mai'],['juin' 'juillet' 'août' 'septembre' 'octobre']
Menthe,Aromatiques,Mi-ombre,Résistant au gel,,,,,,"H1, H2","Limoneux, Argileux",Moyen,Mars à juin,Mai à octobre,https://img.permapotes.com/cover-square/2b346d67ad7537c05aad0477d46aec6d.jpg,['mars' 'avril' 'mai' 'juin'],['mai' 'juin' 'juillet' 'août' 'septembre' 'octobre']
Origan,Aromatiques,Soleil,Résistant au gel,,30.0,,,,H3,Sableux,Faible,Avril à mai,Juillet à septembre,https://img.permapotes.com/cover-square/6cd5f91b083eb0a785a891d9399f8d03.jpg,['avril' 'mai'],['juillet' 'août' 'septembre']
Persil,Aromatiques,Mi-ombre,Résistant au gel,0.5,10.0,21.0,18.0,90.0,"H1, H2",Limoneux,Moyen,Mars à juillet,Mai à octobre,https://img.permapotes.com/cover-square/83aa278fc0e98d8fd0a2dd32329e1d67.jpg,['mars' 'avril' 'mai' 'juin' 'juillet'],['mai' 'juin' 'juillet' 'août' 'septembre' 'octobre']
Romarin,Aromatiques,Soleil,Résistant au gel,,40.0,,,,H3,Sableux,Faible,Mars à avril,Toute l'année,https://img.permapotes.com/cover-square/f8971a6b52320e62dd35bb1d31712ba4.jpg,['mars' 'avril'],"['janvier' 'février' 'mars' 'avril' 'mai' 'juin' 'juillet' 'août'
 'septembre' 'octobre' 'novembre' 'décembre']"
Sauge,Aromatiques,Soleil,Résistant au gel,,,,,,H3,Sableux,Faible,Mars à mai,Juin à octobre,https://img.permapotes.com/cover-square/f19ca089f5cdc97e57651726bf0f48d8.jpg,['mars' 'avril' 'mai'],['juin' 'juillet' 'août' 'septembre' 'octobre']
Thym,Aromatiques,Soleil,Résistant au gel,0.5,25.0,21.0,20.0,150.0,H3,Sableux,Faible,Avril à juin,Juin à octobre,https://img.permapotes.com/cover-square/0f0e3a9dce42945c08234f31c9380e65.jpg,['avril' 'mai' 'juin'],['juin' 'juillet' 'août' 'septembre' 'octobre']
Bourrache,Fleurs,Mi-ombre,Non résistant au gel,1.0,30.0,,,,"H1, H2",Limoneux,Moyen,Avril à mai,Juin à septembre,https://img.permapotes.com/cover-square/d98623e2708bc9636b3e8e6a389a8c9b.jpg,['avril' 'mai'],['juin' 'juillet' 'août' 'septembre']
Camomille,Fleurs,Soleil,Non résistant au gel,1.0,25.0,15.0,15.0,,"H1, H2","Limoneux, Sableux",Moyen,Avril à juin,Juin à septembre,https://img.permapotes.com/cover-square/456fb6c63b23b4aa714422640b6015e8.jpg,['avril' 'mai' 'juin'],['juin' 'juillet' 'août' 'septembre']
Oeillet d'Inde,Fleurs,Soleil,Non résistant au gel,,25.0,,,,H2,"Limoneux, Sableux",Moyen,Mai à juin,Juillet à octobre,https://img.permapotes.com/cover-square/a522b1862a9d72913ea23dbbd59c63d9.jpg,['mai' 'juin'],['juillet' 'août' 'septembre' 'octobre']
Tournesol,Fleurs,Soleil,Non résistant au gel,3.0,40.0,,,140.0,"H2, H3",Sableux,Moyen,Avril à mai,Septembre à octobre,https://img.permapotes.com/cover-square/90ff603e98b31b4e69190713ddea0766.jpg,['avril' 'mai'],['septembre' 'octobre']
Cassissier,Fruitiers,Mi-ombre,Résistant au gel,,,,,,"H1, H2","Limoneux, Argileux",Moyen,Octobre à mars,Juillet à août,https://img.permapotes.com/cover-square/6b4df53b8e417f22633bd559b2ef7a71.jpg,['octobre' 'novembre' 'décembre' 'janvier' 'février' 'mars'],['juillet' 'août']
Cerisier,Fruitiers,Soleil,Peu résistant au gel,,,,,,H2,Limoneux,Moyen,Novembre à mars,Juin à juillet,https://img.permapotes.com/cover-square/5fe43f9cd18782248fd446a2cff91c59.jpg,['novembre' 'décembre' 'janvier' 'février' 'mars'],['juin' 'juillet']
Fraisier,Fruitiers,Soleil,Résistant au gel,,40.0,,,,"H1, H2",Limoneux,Élevé,Août à octobre,Mai à juillet,https://img.permapotes.com/cover-square/e009b0d477d2ba6c04374e8fa249e7cd.jpg,['août' 'septembre' 'octobre'],['mai' 'juin' 'juillet']
Framboisier,Fruitiers,Mi-ombre,Résistant au gel,,80.0,,,,"H1, H2","Limoneux, Argileux",Moyen,Octobre à mars,Juin à juillet,https://img.permapotes.com/cover-square/cb22a9af5b184b3c83aab868718e6a2b.jpg,['octobre' 'novembre' 'décembre' 'janvier' 'février' 'mars'],['juin' 'juillet']
Groseiller,Fruitiers,Mi-ombre,Résistant au gel,,,,,,"H1, H2",Limoneux,Moyen,Octobre à mars,Juin à juillet,https://img.permapotes.com/cover-square/2c73d19ebc25e2e78e8513c73c2533a7.jpg,['octobre' 'novembre' 'décembre' 'janvier' 'février' 'mars'],['juin' 'juillet']
Kiwitier,Fruitiers,Soleil,Peu résistant au gel,,,,,,"H1, H2","Limoneux, Argileux",Élevé,Novembre à mars,Septembre à octobre,https://img.permapotes.com/cover-square/16555baa76e00fe064a22c48570c0517.jpg,['novembre' 'décembre' 'janvier' 'février' 'mars'],['septembre' 'octobre']
Melon,Fruitiers,Soleil,Non résistant au gel,1.5,80.0,8.0,15.0,150.0,H3,Sableux,Élevé,Avril à mai,Juillet à septembre,https://img.permapotes.com/cover-square/886aee0b019d89e3609c2ccc2e518b39.jpg,['avril' 'mai'],['juillet' 'août' 'septembre']
Myrtillier,Fruitiers,Mi-ombre,Résistant au gel,,,,,,H1,"Sableux, Argileux",Élevé,Octobre à mars,Juillet à août,https://img.permapotes.com/cover-square/fa6af989f948348f8dff4b05e1887d09.jpg,['octobre' 'novembre' 'décembre' 'janvier' 'février' 'mars'],['juillet' 'août']
Pastèque,Fruitiers,Soleil,Non résistant au gel,1.0,120.0,,20.0,,H3,Sableux,Élevé,Avril à mai,Juillet à septembre,https://img.permapotes.com/cover-square/2d5023e9aa1b16ba69b52c9a75390c62.jpg,['avril' 'mai'],['juillet' 'août' 'septembre']
