Plante,Zone climatique idéale,Sol requis
Aneth,"H1, H2","Limoneux, Sableux"
Basilic,H3,"Limoneux, Sableux"
Cerfeuil,H1,Limoneux
Ciboulette,"H1, H2",Limoneux
Coriandre,"H1, H2","Limoneux, Sableux"
Curcuma,H3,Sableux
Estragon,"H2, H3",Limoneux ou Argileux
Gingembre,H3,Sableux
Menthe,"H1, H2",Limoneux ou Argileux
Origan,H3,Sableux
Persil,"H1, H2",Limoneux
Romarin,H3,Sableux
Sauge,H3,Sableux
Thym,H3,Sableux
Bourrache,"H1, H2",Limoneux
Camomille,"H1, H2","Limoneux, Sableux"
Œillet d’Inde (tagète),H3,"Limoneux, Sableux"
Tournesol,"H2, H3",Sableux
Cassissier,"H1, H2",Limoneux ou Argileux
Cerisier,H2,Limoneux
Fraisier,"H1, H2",Limoneux
Framboisier,"H1, H2",Limoneux ou Argileux
Groseiller,"H1, H2",Limoneux
Kiwitier,"H1, H2",Limoneux ou Argileux
Melon,H3,Sableux
Myrtillier,H1,Sableux ou Argileux
Pastèque,H3,Sableux
Raisin (vigne),H3,Sableux
Ail blanc,"H1, H2","Limoneux, Sableux"
Asperge,"H2, H3",Sableux
Aubergine,H3,"Limoneux, Sableux"
Betterave,"H1, H2",Limoneux ou Argileux
"Blette (bette, poirée)","H1, H2",Limoneux
Brocoli,"H1, H2",Limoneux
Carotte,"H1, H2",Sableux
Chicorée scarole/frisée,"H1, H2",Limoneux
Chou Romanesco,H2,Argileux
Chou cabus,"H1, H2",Argileux
Chou de Bruxelles,"H1, H2",Argileux
Chou fleur,"H1, H2",Limoneux ou Argileux
Chou rave,"H1, H2",Limoneux ou Argileux
Citrouille,"H2, H3","Limoneux, Sableux"
Concombre,"H2, H3","Limoneux, Sableux"
Cornichon,"H2, H3","Limoneux, Sableux"
Courge,"H2, H3","Limoneux, Sableux"
Courgette verte,"H2, H3","Limoneux, Sableux"
Cresson alénois,H1,Argileux
Céleri branche,"H1, H2",Limoneux
Céleri rave,"H1, H2",Limoneux ou Argileux
Echalote,"H1, H2","Limoneux, Sableux"
Endive (chicon),"H1, H2",Argileux
Epinard,"H1, H2",Limoneux ou Argileux
Fenouil,"H2, H3","Limoneux, Sableux"
Fève,"H1, H2",Limoneux ou Argileux
Haricots beurre,"H2, H3","Limoneux, Sableux"
Haricots blancs,"H2, H3",Sableux
Haricots rouges,"H2, H3","Limoneux, Sableux"
Haricots verts,"H2, H3","Limoneux, Sableux"
Laitue (salade),"H1, H2",Limoneux
Lentille,H2,Sableux
Mâche,"H1, H2",Limoneux
Maïs,"H2, H3",Sableux
Navet,"H1, H2",Limoneux ou Argileux
Panais,"H1, H2",Limoneux ou Argileux
Petit pois,"H1, H2",Limoneux
Physalis,"H2, H3","Limoneux, Sableux"
Piment,H3,"Limoneux, Sableux"
Poireau d'hiver,"H1, H2",Limoneux ou Argileux
Poireau d'été,"H1, H2",Limoneux
Pois mangetout,"H1, H2",Limoneux
Poivron,H3,"Limoneux, Sableux"
Potimarron,"H2, H3","Limoneux, Sableux"
Potiron,"H2, H3","Limoneux, Sableux"
Radis noir (d'hiver),"H1, H2",Limoneux
Radis rouge,"H1, H2",Sableux
Salsifi (Scorsonère),"H1, H2",Argileux
Tomate,"H2, H3","Limoneux, Sableux"
Tomates cerises,"H2, H3","Limoneux, Sableux"
Topinambour,"H1, H2",Argileux
Ail des ours,H1,Argileux
Artichaut,"H2, H3",Limoneux ou Argileux
Cardon,H2,Limoneux ou Argileux
Poireau perpétuel,"H1, H2",Limoneux
Rhubarbe,"H1, H2",Limoneux ou Argileux
